====================================
%% type LineIndentCnt smap[string]int
0:01:len=4
1:01:len=0		=>[1]				|
1:02:len=1      =>[11]				|\t
1:03:len=2  	=>[11]				|\t\t
1:04:len=3  	=>[14]				|\t\t\t

%% type Sample struct {
%%%%%%%%%%%%%
% [1..8, [1..2, [1..6, [1..X]], [1..3], [1..4]], [1..X], [1..5, []]]
%%%%%%%%%%%%%
0:01	//1		**1 	|struct		
1:01	//2		**11	|string	
1:02	//3		**11	|int32	
1:03	//4		**11	|int32	
1:04	//5		**11	|int32	
1:05	//6		**11	|int32	
1:06	//7		**11	|int32	
1:07	//8		**11	|int32	
1:08	//9		**11	|string	
1:09	//10	**11	|*struct
2:01	//11	**11	|int32	
2:02	//12	**11	|string	
2:03	//13	**11	|*struct
3:01	//14	**14	|int32	
3:02	//15	**14	|string	
3:03	//16	**14	|int32	
3:04	//17	**14	|string	
3:05	//18	**14	|string	
3:06	//19	**14	|string	
3:07	//20	**14	|[]int32      |3:07:{1..X}
2:04	//21	**11	|*struct      |2:04:{1..3}
3:01	//22	**14	|string	
3:02	//23	**14	|string	
3:03	//24	**14	|string	
2:05	//25	**11	|*struct      |2:05:{1..4}
3:01	//26	**14	|string	
3:02	//27	**14	|string	
3:03	//28	**14	|string	
3:04	//29	**14	|int32	
1:10	//30	**11	|[]uint8	  |1:10:{1..X}
1:11	//31	**11	|*struct      |1:11:{1..6}
2:01	//32	**11	|bool	
2:02	//33	**11	|bool	
2:03	//34	**11	|bool	
2:04	//35	**11	|bool	
2:05	//36	**11	|bool	
2:06	//37	**11	|struct		  |2:11:{}


====================================
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%% 0| IDX | ... %% DEPTH-CARD ISOLATION BEGIN %%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%% type LineIndentCnt map[string]int {
%% ????
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%% value LineIndentCnt{
D|    IDX   |VALUE          |__ASSERT__________________________|
_|_LOCAL____|_______________|_FACT_____________________CARD____|
0:01		|dict           |                       ||         
1:01		|string()		|=>depth(0)				||==>(**1)		
1:02		|string(\t)     |=>depth(1)			 	||==>(**11)   		
1:03		|string(\t\t  	|=>depth(2)				||==>(**11)			
1:04		|string(\t\t\t) |=>depth(3)				||==>(**14)  		

%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%% 0| IDX | ... %% DEPTH-CARD ISOLATION BEGIN %%%%%%%%%%%%%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%% type Sample struct {
D|_____IDX______|   CARD   |TYPE         
_|_LOCAL|_GLOBAL|__________|_________
0|  01	|   1	|  **1     |struct	
1|  01	|   2	|  **11    |string	
1|  02	|   3	|  **11    |int32	
1|  03	|   4	|  **11    |int32	
1|  04	|   5	|  **11    |int32	
1|  05	|   6	|  **11    |int32	
1|  06	|   7	|  **11    |int32	
1|  07	|   8	|  **11    |int32	
1|  08	|   9	|  **11    |string	
1|  09	|  10	|  **11    |*struct
1|  10	|  30	|  **11    |[]uint8
1|  11	|  31	|  **11    |*struct
2|  01	|  11	|  **11    |int32	
2|  02	|  12	|  **11    |string	
2|  03	|  13	|  **11    |*struct
2|  04	|  21	|  **11    |*struct
2|  05	|  25	|  **11    |*struct
2|  06	|  32	|  **11    |bool	
2|  07	|  33	|  **11    |bool	
2|  08	|  34	|  **11    |bool	
2|  09	|  35	|  **11    |bool	
2|  10	|  36	|  **11    |bool	
2|  11	|  37	|  **11    |struct	
3|  01	|  14	|  **14    |int32	
3|  01	|  22	|  **14    |string	
3|  01	|  26	|  **14    |string	
3|  02	|  15	|  **14    |string	
3|  02	|  23	|  **14    |string	
3|  02	|  27	|  **14    |string	
3|  03	|  16	|  **14    |int32	
3|  03	|  24	|  **14    |string	
3|  03	|  28	|  **14    |string	
3|  04	|  17	|  **14    |string	
3|  04	|  29	|  **14    |int32	
3|  05	|  18	|  **14    |string	
3|  06	|  19	|  **14    |string	
3|  07	|  20	|  **14	   |[]int32
